season,round,gp_name,driver_name,team_name,fp1_besttime,fp2_besttime,fp3_besttime,q1_besttime,qualified_for_q2,q2_besttime,qualified_for_q3,q3_besttime,startposition
2018,1,Australian Grand Prix,Lewis Hamilton,Mercedes,84.026,83.931,94.225,82.824,True,82.051,True,81.164,1
2018,1,Australian Grand Prix,Kimi Räikkönen,Ferrari,84.875,84.214,88.499,83.096,True,82.507,True,81.828,2
2018,1,Australian Grand Prix,Sebastian Vettel,Ferrari,84.995,84.46,86.067,83.348,True,81.944,True,81.838,3
2018,1,Australian Grand Prix,Max Verstappen,Red Bull Racing,84.771,84.058,91.68,83.483,True,82.416,True,81.879,4
2018,1,Australian Grand Prix,Daniel Ricciardo,Red Bull Racing,85.063,84.721,94.043,83.494,True,82.897,True,82.152,5
2018,1,Australian Grand Prix,Kevin Magnussen,Haas F1 Team,87.035,85.246,96.807,83.909,True,83.3,True,83.187,6
2018,1,Australian Grand Prix,Romain Grosjean,Haas F1 Team,85.73,84.648,96.171,83.671,True,83.468,True,83.339,7
2018,1,Australian Grand Prix,Nico Hulkenberg,Renault,86.583,85.471,98.482,83.782,True,83.544,True,83.532,8
2018,1,Australian Grand Prix,Carlos Sainz,Renault,85.922,85.39,93.172,83.529,True,83.061,True,83.577,9
2018,1,Australian Grand Prix,Valtteri Bottas,Mercedes,84.577,84.159,94.174,83.686,True,82.089,False,,10
2018,1,Australian Grand Prix,Fernando Alonso,McLaren,85.896,85.2,94.298,83.597,True,83.692,False,,11
2018,1,Australian Grand Prix,Stoffel Vandoorne,McLaren,86.482,85.285,94.233,84.073,True,83.853,False,,12
2018,1,Australian Grand Prix,Sergio Perez,Force India,86.767,85.413,,84.344,True,84.005,False,,13
2018,1,Australian Grand Prix,Lance Stroll,Williams,86.636,85.543,95.828,84.464,True,84.23,False,,14
2018,1,Australian Grand Prix,Esteban Ocon,Force India,86.605,85.888,,84.503,True,84.786,False,,15
2018,1,Australian Grand Prix,Brendon Hartley,Toro Rosso,87.745,85.925,95.438,84.532,False,,False,,16
2018,1,Australian Grand Prix,Marcus Ericsson,Sauber,87.964,86.814,88.89,84.556,False,,False,,17
2018,1,Australian Grand Prix,Charles Leclerc,Sauber,88.853,86.815,96.448,84.636,False,,False,,18
2018,1,Australian Grand Prix,Sergey Sirotkin,Williams,86.536,85.974,95.589,84.922,False,,False,,19
2018,1,Australian Grand Prix,Pierre Gasly,Toro Rosso,86.494,85.945,94.99,85.295,False,,False,,20
2018,2,Bahrain Grand Prix,Sebastian Vettel,Ferrari,91.47,89.828,90.719,89.06,True,88.341,True,87.958,1
2018,2,Bahrain Grand Prix,Kimi Räikkönen,Ferrari,91.458,89.817,89.868,88.951,True,88.515,True,88.101,2
2018,2,Bahrain Grand Prix,Valtteri Bottas,Mercedes,91.364,90.38,90.781,89.275,True,88.794,True,88.124,3
2018,2,Bahrain Grand Prix,Lewis Hamilton,Mercedes,92.272,90.472,90.691,89.396,True,88.458,True,88.22,4
2018,2,Bahrain Grand Prix,Daniel Ricciardo,Red Bull Racing,91.06,90.751,90.452,89.552,True,88.962,True,88.398,5
2018,2,Bahrain Grand Prix,Pierre Gasly,Toro Rosso,92.779,91.232,91.438,90.121,True,89.836,True,89.329,6
2018,2,Bahrain Grand Prix,Kevin Magnussen,Haas F1 Team,92.971,91.969,91.737,89.594,True,89.623,True,89.358,7
2018,2,Bahrain Grand Prix,Nico Hulkenberg,Renault,93.104,91.22,91.144,90.26,True,89.187,True,89.57,8
2018,2,Bahrain Grand Prix,Esteban Ocon,Force India,93.794,91.809,91.554,90.338,True,90.009,True,89.874,9
2018,2,Bahrain Grand Prix,Carlos Sainz,Renault,92.885,91.601,91.2,89.893,True,89.802,True,89.986,10
2018,2,Bahrain Grand Prix,Brendon Hartley,Toro Rosso,93.497,92.908,91.46,90.412,True,90.105,False,,11
2018,2,Bahrain Grand Prix,Sergio Perez,Force India,93.662,91.868,91.564,90.218,True,90.156,False,,12
2018,2,Bahrain Grand Prix,Fernando Alonso,McLaren,93.223,91.282,91.445,90.53,True,90.212,False,,13
2018,2,Bahrain Grand Prix,Stoffel Vandoorne,McLaren,93.364,91.422,91.86,90.479,True,90.525,False,,14
2018,2,Bahrain Grand Prix,Max Verstappen,Red Bull Racing,,90.745,90.393,89.374,False,,False,,15
2018,2,Bahrain Grand Prix,Romain Grosjean,Haas F1 Team,92.516,91.591,91.513,90.53,False,,False,,16
2018,2,Bahrain Grand Prix,Marcus Ericsson,Sauber,93.508,92.733,91.859,91.063,False,,False,,17
2018,2,Bahrain Grand Prix,Sergey Sirotkin,Williams,93.467,92.474,92.463,91.414,False,,False,,18
2018,2,Bahrain Grand Prix,Charles Leclerc,Sauber,93.278,92.372,92.047,91.42,False,,False,,19
2018,2,Bahrain Grand Prix,Lance Stroll,Williams,93.379,92.382,92.865,91.503,False,,False,,20
2018,3,Chinese Grand Prix,Sebastian Vettel,Ferrari,94.861,93.59,93.018,92.171,True,92.385,True,91.095,1
2018,3,Chinese Grand Prix,Kimi Räikkönen,Ferrari,94.358,93.489,93.469,92.474,True,92.286,True,91.182,2
2018,3,Chinese Grand Prix,Valtteri Bottas,Mercedes,94.457,93.515,93.761,92.921,True,92.063,True,91.625,3
2018,3,Chinese Grand Prix,Lewis Hamilton,Mercedes,93.999,93.482,94.057,93.283,True,91.914,True,91.675,4
2018,3,Chinese Grand Prix,Max Verstappen,Red Bull Racing,94.668,93.823,93.969,92.932,True,92.809,True,91.796,5
2018,3,Chinese Grand Prix,Daniel Ricciardo,Red Bull Racing,94.537,94.557,95.061,93.877,True,92.688,True,91.948,6
